Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-02 15:15:00,141.14,141.53,141.06,141.06,180.425,1754148599999,25499.21827000,139,64.59100000,9129.94120000,0
2025-08-02 15:30:00,141.06,141.06,139.95,140.15,601.88,1754149499999,84404.39416000,323,163.81500000,22983.81301000,0
2025-08-02 15:45:00,140.04,140.05,139.26,139.61,813.195,1754150399999,113467.64287000,423,217.46100000,30363.95956000,0
2025-08-02 16:00:00,139.67,140.12,139.36,139.63,775.109,1754151299999,108307.79818000,362,515.31800000,72030.67182000,0
2025-08-02 16:15:00,139.6,139.8,139.12,139.38,875.994,1754152199999,122156.32636000,412,196.63200000,27410.08214000,0
2025-08-02 16:30:00,139.31,139.79,138.46,139.65,764.503,1754153099999,106197.05752000,411,388.36500000,53982.40866000,0
2025-08-02 16:45:00,139.68,140.05,138.98,139.55,631.257,1754153999999,88122.83620000,279,201.72600000,28183.73694000,0
2025-08-02 17:00:00,139.6,140.15,139.38,140.06,279.432,1754154899999,39043.00432000,198,197.35000000,27565.55224000,0
2025-08-02 17:15:00,140.08,140.18,139.69,140.07,547.191,1754155799999,76634.78256000,227,249.71900000,34972.89511000,0
2025-08-02 17:30:00,140.1,140.1,139.12,139.19,141.722,1754156699999,19782.69292000,150,67.75700000,9461.67554000,0
2025-08-02 17:45:00,139.05,139.11,136.93,137.7,1342.346,1754157599999,184926.19893000,751,335.73900000,46228.33692000,0
2025-08-02 18:00:00,137.75,138.06,136.79,136.79,1052.89,1754158499999,144790.33227000,620,511.33900000,70340.52112000,0
2025-08-02 18:15:00,136.76,137.24,135.77,136.19,2386.079,1754159399999,325889.17637000,1034,1064.46700000,145498.17086000,0
2025-08-02 18:30:00,136.18,136.37,135.14,135.41,1367.62,1754160299999,185424.93279000,817,465.21800000,63076.19404000,0
2025-08-02 18:45:00,135.39,135.52,134.68,135.27,2129.448,1754161199999,287591.37982000,1007,960.64200000,129744.02425000,0
2025-08-02 19:00:00,135.37,135.88,134.88,135.88,663.476,1754162099999,89861.82963000,421,396.56300000,53703.43613000,0
2025-08-02 19:15:00,135.86,136.87,135.86,136.77,491.899,1754162999999,67156.73242000,266,215.90900000,29492.88817000,0
2025-08-02 19:30:00,136.79,136.97,136.35,136.86,850.718,1754163899999,116338.51284000,335,386.44600000,52877.41543000,0
2025-08-02 19:45:00,136.8,136.8,136.03,136.12,874.405,1754164799999,119151.16901000,380,336.16100000,45819.63539000,0
2025-08-02 20:00:00,136.1,136.92,136.1,136.91,490.946,1754165699999,67056.06173000,258,387.95600000,52984.60629000,0
2025-08-02 20:15:00,136.89,137.28,136.35,136.95,235.422,1754166599999,32219.86897000,207,95.30900000,13047.11189000,0
2025-08-02 20:30:00,136.97,137.05,136.34,136.55,214.675,1754167499999,29336.11557000,174,85.13600000,11637.18126000,0
2025-08-02 20:45:00,136.56,137.4,136.43,137.4,336.828,1754168399999,46088.51209000,214,192.65400000,26366.55690000,0
2025-08-02 21:00:00,137.38,137.85,136.69,136.71,495.943,1754169299999,68081.96685000,269,224.40100000,30850.10507000,0
2025-08-02 21:15:00,136.79,137.06,136.57,136.62,402.562,1754170199999,55085.11173000,192,176.34300000,24143.88595000,0
2025-08-02 21:30:00,136.69,137.7,136.69,137.11,229.74,1754171099999,31536.75168000,168,161.02300000,22100.78908000,0
2025-08-02 21:45:00,137.22,137.84,137.1,137.2,252.044,1754171999999,34714.60391000,126,183.32700000,25255.08605000,0
2025-08-02 22:00:00,137.25,138.03,137.25,137.27,366.686,1754172899999,50475.74751000,147,95.39300000,13134.36856000,0
2025-08-02 22:15:00,137.26,137.26,136.3,136.63,328.909,1754173799999,44935.35950000,169,153.72400000,21000.15212000,0
2025-08-02 22:30:00,136.68,137.43,136.63,137.32,241.293,1754174699999,33054.78409000,113,184.39600000,25264.21611000,0
2025-08-02 22:45:00,137.33,137.63,137.3,137.35,562.195,1754175599999,77291.86601000,170,323.16700000,44429.22627000,0
2025-08-02 23:00:00,137.34,137.57,136.46,136.59,359.516,1754176499999,49314.42736000,163,128.89600000,17692.57008000,0
2025-08-02 23:15:00,136.77,136.86,135.72,135.72,425.412,1754177399999,58048.74660000,212,89.85000000,12267.89557000,0
2025-08-02 23:30:00,135.88,137.48,135.71,137.09,298.368,1754178299999,40762.96806000,248,178.40800000,24378.59663000,0
2025-08-02 23:45:00,137.16,137.34,136.69,136.89,163.55,1754179199999,22400.68258000,91,105.44200000,14445.56978000,0
2025-08-03 00:00:00,136.91,137.36,136.72,137.02,474.319,1754180099999,65003.77328000,173,162.39000000,22257.64178000,0
2025-08-03 00:15:00,137.12,137.43,135.8,135.92,223.152,1754180999999,30547.06607000,131,115.59500000,15846.12626000,0
2025-08-03 00:30:00,135.88,137.4,135.04,137.3,1034.87,1754181899999,140620.18924000,365,448.22900000,61011.95328000,0
2025-08-03 00:45:00,137.35,138.0,137.13,137.94,419.243,1754182799999,57755.56342000,226,304.80900000,41992.78370000,0
2025-08-03 01:00:00,137.91,138.18,137.5,138.06,225.577,1754183699999,31112.57702000,130,189.32400000,26114.46836000,0
2025-08-03 01:15:00,138.05,138.37,137.49,138.27,265.872,1754184599999,36658.75347000,140,78.43200000,10815.87026000,0
2025-08-03 01:30:00,138.16,138.31,137.84,138.31,133.063,1754185499999,18377.50230000,90,103.04500000,14233.47130000,0
2025-08-03 01:45:00,138.25,138.25,137.69,137.85,102.529,1754186399999,14128.97023000,80,34.67000000,4780.71920000,0
2025-08-03 02:00:00,137.93,138.59,137.9,138.54,135.195,1754187299999,18702.96374000,138,76.53100000,10591.39211000,0
2025-08-03 02:15:00,138.52,138.61,138.2,138.2,155.476,1754188199999,21526.20579000,66,92.27900000,12779.99452000,0
2025-08-03 02:30:00,138.17,138.7,138.17,138.7,174.918,1754189099999,24225.49686000,181,118.74700000,16449.99110000,0
2025-08-03 02:45:00,138.63,138.84,138.62,138.72,55.616,1754189999999,7718.31671000,62,33.36100000,4630.03580000,0
2025-08-03 03:00:00,138.72,138.75,138.59,138.67,68.242,1754190899999,9464.50151000,51,40.55800000,5624.97069000,0
2025-08-03 03:15:00,138.66,138.94,138.58,138.68,70.718,1754191799999,9806.49331000,56,21.06500000,2922.74985000,0
2025-08-03 03:30:00,138.67,139.06,138.57,139.06,408.806,1754192699999,56766.83769000,116,195.54300000,27164.18677000,0
2025-08-03 03:45:00,139.09,139.1,138.94,138.94,276.396,1754193599999,38427.53256000,110,169.30200000,23537.60419000,0
2025-08-03 04:00:00,138.95,138.96,138.42,138.44,269.478,1754194499999,37365.57167000,88,62.54100000,8678.80048000,0
2025-08-03 04:15:00,138.39,138.98,138.34,138.76,230.795,1754195399999,32014.05085000,73,173.66600000,24086.03520000,0
2025-08-03 04:30:00,138.68,138.73,138.25,138.37,91.335,1754196299999,12639.77078000,77,49.24100000,6814.56859000,0
2025-08-03 04:45:00,138.41,138.63,138.41,138.63,91.825,1754197199999,12719.11544000,72,29.36700000,4066.50011000,0
2025-08-03 05:00:00,138.6,138.75,138.54,138.58,393.56,1754198099999,54575.28981000,127,79.11400000,10967.74419000,0
2025-08-03 05:15:00,138.57,138.93,138.42,138.87,340.622,1754198999999,47223.93992000,143,236.67300000,32812.06514000,0
2025-08-03 05:30:00,138.81,139.03,138.53,138.53,228.132,1754199899999,31650.89105000,116,88.12700000,12239.12394000,0
2025-08-03 05:45:00,138.53,138.75,138.41,138.56,157.794,1754200799999,21864.26101000,80,82.72600000,11459.27058000,0
2025-08-03 06:00:00,138.62,138.69,138.3,138.33,82.599,1754201699999,11435.90269000,62,45.43600000,6290.02996000,0
2025-08-03 06:15:00,138.39,138.76,138.32,138.63,108.672,1754202599999,15052.82234000,57,91.95500000,12736.16653000,0
2025-08-03 06:30:00,138.63,138.93,138.55,138.57,229.485,1754203499999,31851.56220000,95,132.68900000,18419.19026000,0
2025-08-03 06:45:00,138.61,138.78,138.51,138.78,54.641,1754204399999,7576.96917000,48,37.39700000,5186.57924000,0
2025-08-03 07:00:00,138.8,139.11,138.78,139.09,128.269,1754205299999,17822.52619000,73,108.38500000,15058.79966000,0
2025-08-03 07:15:00,139.12,139.4,139.02,139.4,124.647,1754206199999,17343.47215000,76,101.17800000,14079.20679000,0
2025-08-03 07:30:00,139.42,139.68,139.32,139.41,656.472,1754207099999,91600.38696000,208,241.27400000,33658.30721000,0
2025-08-03 07:45:00,139.4,139.5,139.2,139.48,166.834,1754207999999,23252.92805000,92,82.70100000,11524.87750000,0
2025-08-03 08:00:00,139.57,139.87,139.5,139.86,541.063,1754208899999,75567.25573000,154,480.11700000,67050.06310000,0
2025-08-03 08:15:00,139.85,139.88,139.24,139.24,667.282,1754209799999,93173.24183000,184,145.32100000,20308.62367000,0
2025-08-03 08:30:00,139.36,139.37,139.14,139.26,121.357,1754210699999,16903.10510000,92,53.51500000,7456.07777000,0
2025-08-03 08:45:00,139.27,139.66,139.17,139.61,336.57,1754211599999,46965.88435000,125,269.94400000,37670.90758000,0
2025-08-03 09:00:00,139.62,139.62,139.16,139.2,285.767,1754212499999,39804.10670000,135,119.87800000,16702.25108000,0
2025-08-03 09:15:00,139.16,139.31,138.96,139.13,257.765,1754213399999,35859.93734000,134,169.58400000,23592.58388000,0
2025-08-03 09:30:00,139.13,139.44,139.01,139.35,237.665,1754214299999,33082.68371000,97,222.81500000,31015.85014000,0
2025-08-03 09:45:00,139.36,139.48,139.35,139.43,83.319,1754215199999,11615.78714000,49,18.82200000,2623.76238000,0
2025-08-03 10:00:00,139.42,139.81,139.4,139.81,242.711,1754216099999,33877.64036000,108,136.38400000,19037.37423000,0
2025-08-03 10:15:00,139.82,139.82,139.66,139.76,199.399,1754216999999,27863.79993000,144,177.11900000,24751.06555000,0
2025-08-03 10:30:00,139.67,139.94,139.61,139.9,146.013,1754217899999,20420.39741000,116,109.36200000,15295.60104000,0
2025-08-03 10:45:00,139.9,140.03,139.7,139.89,105.576,1754218799999,14771.15692000,103,94.39800000,13207.43459000,0
2025-08-03 11:00:00,139.9,141.0,139.88,141.0,703.387,1754219699999,98776.92431000,399,391.91500000,55019.94099000,0
2025-08-03 11:15:00,140.96,140.96,140.44,140.44,619.208,1754220599999,87114.31109000,207,193.09600000,27173.34600000,0
2025-08-03 11:30:00,140.45,140.45,139.89,140.01,305.888,1754221499999,42879.82719000,179,230.74800000,32344.88836000,0
2025-08-03 11:45:00,140.01,140.28,139.8,139.84,370.454,1754222399999,51910.87828000,249,199.24900000,27922.94592000,0
2025-08-03 12:00:00,139.81,139.86,139.41,139.54,297.371,1754223299999,41529.41013000,226,198.48300000,27717.63724000,0
2025-08-03 12:15:00,139.52,139.67,139.35,139.58,463.7,1754224199999,64675.29659000,166,242.53500000,33838.27499000,0
2025-08-03 12:30:00,139.61,140.06,139.58,140.06,480.711,1754225099999,67211.12888000,238,360.25000000,50361.00585000,0
2025-08-03 12:45:00,140.06,140.41,140.06,140.08,392.583,1754225999999,55047.07961000,209,238.20200000,33405.01318000,0
2025-08-03 13:00:00,140.1,140.5,139.87,140.19,310.292,1754226899999,43505.96507000,246,75.37300000,10571.56710000,0
2025-08-03 13:15:00,140.26,140.28,139.44,139.58,671.884,1754227799999,93972.44749000,200,270.50200000,37878.92569000,0
2025-08-03 13:30:00,139.61,139.8,139.54,139.54,255.968,1754228699999,35753.57623000,127,214.04300000,29896.69049000,0
2025-08-03 13:45:00,139.59,139.63,139.12,139.62,406.986,1754229599999,56743.66990000,169,173.52400000,24191.16987000,0
2025-08-03 14:00:00,139.68,139.87,139.06,139.19,543.784,1754230499999,75963.02937000,176,170.69300000,23845.30651000,0
2025-08-03 14:15:00,139.4,139.4,138.89,139.01,682.139,1754231399999,94857.00633000,271,260.65300000,36246.34432000,0
2025-08-03 14:30:00,139.04,139.5,138.83,139.5,367.644,1754232299999,51166.86488000,132,313.79000000,43676.93262000,0
2025-08-03 14:45:00,139.44,139.76,139.24,139.64,385.775,1754233199999,53851.68142000,246,268.14100000,37441.99409000,0
2025-08-03 15:00:00,139.64,139.66,139.19,139.56,134.625,1754234099999,18770.06167000,135,82.83500000,11551.20374000,0
2025-08-03 15:15:00,139.58,140.19,139.58,140.07,492.011,1754234999999,68873.86224000,224,226.12000000,31645.18584000,0
2025-08-03 15:30:00,140.06,140.25,139.74,140.23,369.062,1754235899999,51692.54792000,125,126.95900000,17780.53172000,0
2025-08-03 15:45:00,140.27,140.45,140.04,140.28,244.787,1754236799999,34350.51048000,139,204.44700000,28696.05399000,0
2025-08-03 16:00:00,140.25,140.25,139.65,139.67,243.654,1754237699999,34091.85720000,142,36.67900000,5135.37583000,0
2025-08-03 16:15:00,139.74,139.84,139.47,139.62,252.973,1754238599999,35316.36630000,173,119.05500000,16620.29256000,0
